country_code_3,lat,long,country,zero
VIR,18.34,-64.9,US Virgin Islands,0
UZB,41.38,64.59,Uzbekistan,0
VUT,-15.38,166.96,Vanuatu,0
VAT,41.90,12.45,Vatican City,0
VEN,6.42,-66.59,Venezuela,0
VNM,14.06,108.28,Vietnam,0
WLF,-13.77,-177.16,Wallis and Futuna Islands,0
ESH,24.22,-12.89,Western Sahara,0
YEM,15.55,48.52,Yemen,0
ZMB,-13.13,27.85,Zambia,0
ZWE,-19.02,29.15,Zimbabwe,0
