country_code_3,lat,long,country,zero
SGS,-54.429579,-36.587909,South Georgia and the South Sandwich Islands,0
KOR,35.907757,127.766922,South Korea,0
SSD,7.8626845,29.6949232,South Sudan,0
ESP,40.463667,-3.74922,Spain,0
LKA,7.873054,80.771797,Sri Lanka,0
SDN,12.862807,30.217636,Sudan,0
SUR,3.919305,-56.027783,Suriname,0
SJM,77.553604,23.670272,Svalbard and Jan Mayen Islands,0
SWZ,-26.522503,31.465866,Swaziland,0
SWE,60.128161,18.643501,Sweden,0
CHE,46.818188,8.227512,Switzerland,0
SYR,34.802075,38.996815,Syria,0
TWN,23.69781,120.960515,Taiwan,0
TJK,38.861034,71.276093,Tajikistan,0
TZA,-6.369028,34.888822,Tanzania,0
THA,15.870032,100.992541,Thailand,0
TLS,-8.874217,125.727539,Timor-Leste,0
TGO,8.619543,0.824782,Togo,0
TKL,-8.967363,-171.855881,Tokelau,0
TON,-21.178986,-175.198242,Tonga,0
TTO,10.691803,-61.222503,Trinidad and Tobago,0
TUN,33.886917,9.537499,Tunisia,0
TUR,38.963745,35.243322,Turkey,0
TKM,38.969719,59.556278,Turkmenistan,0
TCA,21.694025,-71.797928,Turks and Caicos Islands,0
TUV,-7.109535,177.64933,Tuvalu,0
UGA,1.373333,32.290275,Uganda,0
UKR,48.379433,31.16558,Ukraine,0
ARE,23.424076,53.847818,United Arab Emirates,0
GBR,55.378051,-3.435973,United Kingdom,0
USA,37.09024,-95.712891,United States,0
URY,-32.522779,-55.765835,Uruguay,0
VIR,18.335765,-64.896335,US Virgin Islands,0
UZB,41.377491,64.585262,Uzbekistan,0
VUT,-15.376706,166.959158,Vanuatu,0
ATA,-75.250973,-0.071389,Various/Unknown,0
VAT,41.902916,12.453389,Vatican City,0
VEN,6.42375,-66.58973,Venezuela,0
VNM,14.058324,108.277199,Vietnam,0
WLF,-13.768752,-177.156097,Wallis and Futuna Islands,0
ESH,24.215527,-12.885834,Western Sahara,0
YEM,15.552727,48.516388,Yemen,0
ZMB,-13.133897,27.849332,Zambia,0
ZWE,-19.015438,29.154857,Zimbabwe,0
